,Title,Link,Published
45,S&P Dow Jones Indices y la Bolsa de Santiago lanzan el Índice S&P IPSA ESG Tilted,https://www.spglobal.com/spdji/en#,"Wed, 20 Jan 2021 10:00:00 EST"
46,关于禁止美国交易部分中国证券的行政命令对标普道琼斯 固定收益指数之影响的最新信息,https://www.spglobal.com/spdji/en#,"Thu, 31 Dec 2020 21:19:00 EST"
47,Actualización sobre el impacto de la orden ejecutiva que prohíbe transacciones estadounidenses sobre ciertos valores chinos en los índices de renta fija de S&P DJI,https://www.spglobal.com/spdji/en#,"Thu, 31 Dec 2020 10:13:00 EST"
48,米国人による中国の特定証券への投資を禁止する大統領 令が S&P ダウ・ジョーンズ・インデックスの債券指数 に及ぼす影響に関するアップデート,https://www.spglobal.com/spdji/en#,"Thu, 31 Dec 2020 02:08:00 EST"
49,S&P 500 Buybacks Rebound 14.8% in Q3 2020; Remain 42.1% Lower than Q3 2019,https://www.spglobal.com/spdji/en#,"Thu, 17 Dec 2020 10:00:00 EST"
50,米国人による特定の中国企業への投資を禁止する大統領 令に関する S&P ダウ・ジョーンズ・インデックスの相 談の結果,https://www.spglobal.com/spdji/en#,"Wed, 09 Dec 2020 17:18:00 EST"
51,Resultados de la Consulta lanzada por S&P Dow Jones Indices sobre la Orden Ejecutiva de Prohibición de Negociación de Acciones de ciertas Emisoras Chinas,https://www.spglobal.com/spdji/en#,"Wed, 09 Dec 2020 17:18:00 EST"
52,Resultados da Consulta da S&P Dow Jones Indices sobre a ordem executiva que proíbe transações americanas em certas empresas chinesas,https://www.spglobal.com/spdji/en#,"Wed, 09 Dec 2020 17:18:00 EST"
53,标普道琼斯指数就美国政府禁止美国投资者投资于某些中 国公司证券的行政命令进行咨询，现公布咨询结果,https://www.spglobal.com/spdji/en#,"Wed, 09 Dec 2020 17:18:00 EST"
54,"S&P 다우존스 지수, 특정 중국 기업의 미국 거래를 금지하는 행정명령에 대한 협의 결과 발표",https://www.spglobal.com/spdji/en#,"Wed, 09 Dec 2020 05:18:00 EST"
55,S＆PグローバルはIHS Markitの全株式を440億ドル（約４兆６千億円）の評価額で株式交換の形で取得し合併を発表,#,"Mon, 07 Dec 2020 12:03:00 EST"
56,S&P Dow Jones Indices Builds Crypto Indexing Capabilities with Lukka,https://www.spglobal.com/spdji/en#,"Thu, 03 Dec 2020 08:30:00 EST"
57,S&P Dow Jones Indices Anuncia la implementación de la adición de Tesla al S&P 500,https://www.spglobal.com/spdji/en#,"Mon, 30 Nov 2020 17:15:00 EST"
58,S&P Dow Jones Indices Launches S&P/KRX Carbon Efficient Capped Index,https://www.spglobal.com/spdji/en#,"Fri, 27 Nov 2020 01:35:00 EST"
59,"S&P Dow Jones Indices Reports $2.3 Billion Decrease in U.S. Indicated Dividend Payments for Q3 2020, Up from Q2’s $42.5 Billion Decline",https://www.spglobal.com/spdji/en#,"Thu, 08 Oct 2020 10:30:00 EDT"
60,S&P Dow Jones Indices Launches S&P/TSX ESG Indices,https://www.spglobal.com/spdji/en#,"Thu, 08 Oct 2020 09:00:00 EDT"
